question,answer
Hello,Hola
Good morning,Buenos días
Good afternoon,Buenas tardes
Good evening,Buenas noches
Goodbye,Adiós
See you later,Hasta luego
See you soon,Hasta pronto
See you tomorrow,Hasta mañana
How are you?,¿Cómo estás?
I'm fine,Estoy bien
Thank you,Gracias
You're welcome,De nada
Please,Por favor
Excuse me,Disculpe
Nice to meet you,Mucho gusto
What's your name?,¿Cómo te llamas?
My name is...,Me llamo...
How's it going?,¿Qué tal?
Welcome,Bienvenido
Have a good day,Que tengas un buen día
