question,answer
Although it seems incredible,Aunque parezca increíble
I would have done it if I had known,Lo habría hecho si lo hubiera sabido
The subjunctive mood,El modo subjuntivo
To get used to something,Acostumbrarse a algo
Nevertheless,Sin embargo
To take advantage of,Aprovechar
The resourcefulness,El ingenio
To achieve/accomplish,Lograr
The endeavor/effort,El empeño
Regardless of,A pesar de
To carry out (a task),Llevar a cabo
The outcome/result,El desenlace
To overcome an obstacle,Superar un obstáculo
The perseverance,La perseverancia
To foster/promote,Fomentar
The reliability,La fiabilidad
To undermine/weaken,Socavar
The thoroughness,La minuciosidad
To ascertain/verify,Cerciorarse
The intricacy,La complejidad
Notwithstanding,No obstante
To encompass,Abarcar
The discrepancy,La discrepancia
To substantiate,Corroborar
The constraint,La restricción
To alleviate,Aliviar
The endeavor,El afán
To jeopardize,Poner en peligro
The prerequisite,El requisito previo
Had I known that...,De haberlo sabido...
It is imperative that we proceed,Es imperativo que procedamos
Were it not for your help,De no ser por tu ayuda
I doubt he understands it,Dudo que lo entienda
It's essential you be there,Es esencial que estés allí
May you have success,Que tengas éxito
Whatever it may be,Sea lo que sea
Wherever you go,Dondequiera que vayas
As soon as I arrive,En cuanto llegue
Before they leave,Antes de que se vayan
