question,answer
Benevolent,Kind and generous
Eloquent,Fluent and persuasive in speaking
Meticulous,Showing great attention to detail
Resilient,Able to recover quickly from difficulties
Ambiguous,Open to more than one interpretation
Pragmatic,Dealing with things in a practical way
Ephemeral,Lasting for a very short time
Ubiquitous,Present everywhere at once
Candid,Truthful and straightforward
Diligent,Having or showing care in one's work
Gregarious,Fond of company; sociable
Inevitable,Certain to happen; unavoidable
Lucid,Expressed clearly; easy to understand
Nostalgic,Feeling sentimental about the past
Obsolete,No longer in use; outdated
Pensive,Engaged in deep thought
Quaint,Attractively unusual or old-fashioned
Serene,Calm and peaceful
Tenacious,Persistent and determined
Verbose,Using more words than needed
Whimsical,Playfully quaint or fanciful
Zealous,Having great energy for a cause
Aesthetic,Concerned with beauty or art
Brevity,Concise expression; shortness
Catalyst,Something that causes change
Dubious,Hesitating or doubting
Empathy,Understanding others' feelings
Frugal,Economical with money or resources
Harmony,Agreement or peaceful coexistence
Integrity,Quality of being honest and moral
